start_station_id,hour,day_of_week,day_of_month,weekend,workingday,is_rush_hour,demand
BK-A7,14,3,24,0,1,0,2
BK-A7,14,6,13,0,1,0,1
BK-A7,14,6,27,0,1,0,1
BK-A7,14,7,7,1,0,0,2
BK-A7,14,7,21,1,0,0,2
BK-A7,15,1,15,1,0,0,1
BK-A7,15,1,22,1,0,0,2
BK-A7,15,1,29,1,0,0,1
BK-A7,15,2,2,0,1,0,1
BK-A7,15,2,9,0,1,0,1
BK-A7,15,2,23,0,1,0,2
BK-A7,15,3,3,0,1,0,2
BK-A7,15,3,24,0,1,0,1
BK-A7,15,5,12,0,1,0,1
BK-A7,15,5,19,0,1,0,2
BK-A7,15,5,26,0,1,0,1
BK-A7,15,6,13,0,1,0,1
BK-A7,15,6,27,0,1,0,2
BK-A7,15,7,7,1,0,0,2
BK-A7,15,7,14,1,0,0,2
BK-A7,15,7,28,1,0,0,2
BK-A7,16,1,1,1,0,0,1
BK-A7,16,1,15,1,0,0,1
BK-A7,16,1,22,1,0,0,1
BK-A7,16,2,2,0,1,0,1
BK-A7,16,2,9,0,1,0,2
BK-A7,16,2,16,0,1,0,2
BK-A7,16,2,30,0,1,0,4
BK-A7,16,3,24,0,1,0,1
BK-A7,16,4,25,0,1,0,1
BK-A7,16,5,5,0,1,0,1
BK-A7,16,5,19,0,1,0,1
BK-A7,16,6,6,0,1,0,1
BK-A7,16,7,7,1,0,0,2
BK-A7,16,7,14,1,0,0,1
BK-A7,16,7,28,1,0,0,1
BK-A7,17,1,1,1,0,1,2
BK-A7,17,1,8,1,0,1,3
BK-A7,17,1,22,1,0,1,1
BK-A7,17,2,9,0,1,1,1
BK-A7,17,3,17,0,1,1,1
BK-A7,17,3,24,0,1,1,1
BK-A7,17,4,4,0,1,1,1
BK-A7,17,4,18,0,1,1,1
BK-A7,17,4,25,0,1,1,1
BK-A7,17,5,5,0,1,1,2
BK-A7,17,5,19,0,1,1,2
BK-A7,17,6,6,0,1,1,2
BK-A7,17,6,13,0,1,1,1
BK-A7,17,6,20,0,1,1,1
BK-A7,17,6,27,0,1,1,1
BK-A7,17,7,7,1,0,1,3
BK-A7,17,7,21,1,0,1,2
BK-A7,17,7,28,1,0,1,2
BK-A7,18,1,8,1,0,1,1
BK-A7,18,1,22,1,0,1,3
BK-A7,18,1,29,1,0,1,3
BK-A7,18,2,16,0,1,1,2
BK-A7,18,2,23,0,1,1,1
BK-A7,18,3,3,0,1,1,2
BK-A7,18,3,10,0,1,1,3
BK-A7,18,3,24,0,1,1,1
BK-A7,18,4,4,0,1,1,4
BK-A7,18,4,18,0,1,1,1
BK-A7,18,5,12,0,1,1,1
BK-A7,18,6,13,0,1,1,1
BK-A7,18,6,27,0,1,1,1
BK-A7,18,7,7,1,0,1,4
BK-A7,18,7,21,1,0,1,1
BK-A7,18,7,28,1,0,1,1
BK-A7,19,1,15,1,0,1,1
BK-A7,19,1,22,1,0,1,1
BK-A7,19,1,29,1,0,1,1
BK-A7,19,2,9,0,1,1,2
BK-A7,19,2,23,0,1,1,2
BK-A7,19,2,30,0,1,1,2
BK-A7,19,3,10,0,1,1,2
BK-A7,19,3,17,0,1,1,1
BK-A7,19,4,25,0,1,1,2
BK-A7,19,5,26,0,1,1,1
BK-A7,19,6,20,0,1,1,2
BK-A7,19,6,27,0,1,1,1
BK-A7,19,7,21,1,0,1,2
BK-A7,20,1,1,1,0,0,1
BK-A7,20,1,22,1,0,0,1
BK-A7,20,2,30,0,1,0,1
BK-A7,20,4,4,0,1,0,1
BK-A7,20,4,18,0,1,0,2
BK-A7,20,7,14,1,0,0,1
BK-A7,20,7,28,1,0,0,1
BK-A7,21,1,15,1,0,0,1
BK-A7,21,1,29,1,0,0,1
BK-A7,21,2,2,0,1,0,1
BK-A7,21,2,30,0,1,0,2
BK-A7,21,3,24,0,1,0,1
BK-A7,21,4,25,0,1,0,1
BK-A7,21,6,13,0,1,0,2
BK-A7,21,6,20,0,1,0,2
BK-A7,21,7,7,1,0,0,1
BK-A7,21,7,14,1,0,0,2
BK-A7,22,3,24,0,1,0,1
BK-A7,22,4,4,0,1,0,1
BK-A7,22,6,13,0,1,0,1
BK-A7,22,6,20,0,1,0,2
BK-A7,22,7,21,1,0,0,1
BK-A7,23,1,22,1,0,0,1
BK-A7,23,3,3,0,1,0,1
BK-A7,23,4,18,0,1,0,1
BK-A7,23,7,28,1,0,0,1
BK-B7,0,3,3,0,1,0,1
BK-B7,2,4,25,0,1,0,1
BK-B7,4,2,16,0,1,0,1
BK-B7,5,4,18,0,1,0,1
BK-B7,6,2,9,0,1,0,1
BK-B7,6,2,16,0,1,0,1
BK-B7,6,3,24,0,1,0,2
BK-B7,6,4,25,0,1,0,2
BK-B7,6,6,20,0,1,0,1
BK-B7,7,2,30,0,1,1,1
BK-B7,7,3,17,0,1,1,2
BK-B7,7,4,4,0,1,1,1
BK-B7,7,4,18,0,1,1,1
BK-B7,7,5,19,0,1,1,1
BK-B7,7,6,27,0,1,1,3
BK-B7,8,4,4,0,1,1,1
BK-B7,8,4,11,0,1,1,1
BK-B7,8,4,25,0,1,1,1
BK-B7,8,5,12,0,1,1,1
BK-B7,8,6,6,0,1,1,1
BK-B7,8,6,13,0,1,1,1
BK-B7,9,1,15,1,0,1,1
BK-B7,9,3,3,0,1,1,1
BK-B7,9,3,10,0,1,1,1
BK-B7,9,4,11,0,1,1,1
BK-B7,9,5,5,0,1,1,1
BK-B7,9,5,12,0,1,1,1
BK-B7,9,5,26,0,1,1,1
BK-B7,9,6,6,0,1,1,1
BK-B7,9,6,13,0,1,1,1
BK-B7,10,1,1,1,0,0,1
BK-B7,10,1,15,1,0,0,2
BK-B7,10,2,2,0,1,0,1
BK-B7,10,2,9,0,1,0,1
BK-B7,10,2,23,0,1,0,1
BK-B7,10,2,30,0,1,0,1
BK-B7,10,3,10,0,1,0,2
BK-B7,10,3,24,0,1,0,1
BK-B7,10,4,11,0,1,0,1
BK-B7,10,4,25,0,1,0,1
BK-B7,10,5,26,0,1,0,1
BK-B7,10,7,7,1,0,0,2
BK-B7,10,7,28,1,0,0,1
BK-B7,11,1,1,1,0,0,1
BK-B7,11,1,8,1,0,0,1
BK-B7,11,1,22,1,0,0,3
BK-B7,11,2,2,0,1,0,2
BK-B7,11,2,16,0,1,0,1
BK-B7,11,2,30,0,1,0,1
BK-B7,11,3,3,0,1,0,1
BK-B7,11,3,10,0,1,0,1
BK-B7,11,3,24,0,1,0,1
BK-B7,11,4,11,0,1,0,1
BK-B7,11,6,6,0,1,0,1
BK-B7,11,7,28,1,0,0,1
BK-B7,12,1,8,1,0,0,1
BK-B7,12,1,15,1,0,0,1
BK-B7,12,2,9,0,1,0,1
BK-B7,12,4,4,0,1,0,1
BK-B7,12,4,11,0,1,0,1
BK-B7,12,5,5,0,1,0,1
BK-B7,12,5,26,0,1,0,1
BK-B7,12,6,6,0,1,0,2
